:START_ID,:END_ID,Relationship,:TYPE
institution_152119,institution_114757,cooperation,Institution_cooperation_patent
institution_114757,institution_152120,cooperation,Institution_cooperation_patent
institution_152120,institution_114757,cooperation,Institution_cooperation_patent
institution_114757,institution_152122,cooperation,Institution_cooperation_patent
institution_152122,institution_114757,cooperation,Institution_cooperation_patent
institution_152118,institution_152119,cooperation,Institution_cooperation_patent
institution_152119,institution_152118,cooperation,Institution_cooperation_patent
institution_152118,institution_152120,cooperation,Institution_cooperation_patent
institution_152120,institution_152118,cooperation,Institution_cooperation_patent
institution_152118,institution_152122,cooperation,Institution_cooperation_patent
institution_152122,institution_152118,cooperation,Institution_cooperation_patent
institution_152119,institution_152120,cooperation,Institution_cooperation_patent
institution_152120,institution_152119,cooperation,Institution_cooperation_patent
institution_152119,institution_152122,cooperation,Institution_cooperation_patent
institution_152122,institution_152119,cooperation,Institution_cooperation_patent
institution_152120,institution_152122,cooperation,Institution_cooperation_patent
institution_152122,institution_152120,cooperation,Institution_cooperation_patent
institution_117012,institution_146662,cooperation,Institution_cooperation_patent
institution_146662,institution_117012,cooperation,Institution_cooperation_patent
institution_117012,institution_152192,cooperation,Institution_cooperation_patent
institution_152192,institution_117012,cooperation,Institution_cooperation_patent
institution_146662,institution_152192,cooperation,Institution_cooperation_patent
institution_152192,institution_146662,cooperation,Institution_cooperation_patent
institution_77823,institution_148040,cooperation,Institution_cooperation_patent
institution_148040,institution_77823,cooperation,Institution_cooperation_patent
institution_77823,institution_149714,cooperation,Institution_cooperation_patent
institution_149714,institution_77823,cooperation,Institution_cooperation_patent
institution_148040,institution_149714,cooperation,Institution_cooperation_patent
institution_149714,institution_148040,cooperation,Institution_cooperation_patent
institution_5964,institution_28959,cooperation,Institution_cooperation_patent
institution_28959,institution_5964,cooperation,Institution_cooperation_patent
institution_5964,institution_59893,cooperation,Institution_cooperation_patent
institution_59893,institution_5964,cooperation,Institution_cooperation_patent
institution_5964,institution_114900,cooperation,Institution_cooperation_patent
institution_114900,institution_5964,cooperation,Institution_cooperation_patent
institution_28959,institution_59893,cooperation,Institution_cooperation_patent
institution_59893,institution_28959,cooperation,Institution_cooperation_patent
institution_28959,institution_114900,cooperation,Institution_cooperation_patent
institution_114900,institution_28959,cooperation,Institution_cooperation_patent
institution_59893,institution_114900,cooperation,Institution_cooperation_patent
institution_114900,institution_59893,cooperation,Institution_cooperation_patent
institution_44867,institution_54596,cooperation,Institution_cooperation_patent
institution_54596,institution_44867,cooperation,Institution_cooperation_patent
institution_44867,institution_77573,cooperation,Institution_cooperation_patent
institution_77573,institution_44867,cooperation,Institution_cooperation_patent
institution_44867,institution_127091,cooperation,Institution_cooperation_patent
institution_127091,institution_44867,cooperation,Institution_cooperation_patent
institution_54596,institution_77573,cooperation,Institution_cooperation_patent
institution_77573,institution_54596,cooperation,Institution_cooperation_patent
institution_54596,institution_127091,cooperation,Institution_cooperation_patent
institution_127091,institution_54596,cooperation,Institution_cooperation_patent
institution_77573,institution_127091,cooperation,Institution_cooperation_patent
institution_127091,institution_77573,cooperation,Institution_cooperation_patent
institution_90276,institution_92936,cooperation,Institution_cooperation_patent
institution_92936,institution_90276,cooperation,Institution_cooperation_patent
institution_249,institution_34240,cooperation,Institution_cooperation_patent
institution_34240,institution_249,cooperation,Institution_cooperation_patent
institution_249,institution_100487,cooperation,Institution_cooperation_patent
institution_100487,institution_249,cooperation,Institution_cooperation_patent
institution_249,institution_113498,cooperation,Institution_cooperation_patent
institution_113498,institution_249,cooperation,Institution_cooperation_patent
institution_34240,institution_100487,cooperation,Institution_cooperation_patent
institution_100487,institution_34240,cooperation,Institution_cooperation_patent
institution_34240,institution_113498,cooperation,Institution_cooperation_patent
institution_113498,institution_34240,cooperation,Institution_cooperation_patent
institution_100487,institution_113498,cooperation,Institution_cooperation_patent
institution_113498,institution_100487,cooperation,Institution_cooperation_patent
institution_143499,institution_146581,cooperation,Institution_cooperation_patent
institution_146581,institution_143499,cooperation,Institution_cooperation_patent
institution_44365,institution_60797,cooperation,Institution_cooperation_patent
institution_60797,institution_44365,cooperation,Institution_cooperation_patent
institution_16984,institution_78019,cooperation,Institution_cooperation_patent
institution_78019,institution_16984,cooperation,Institution_cooperation_patent
institution_20715,institution_45217,cooperation,Institution_cooperation_patent
institution_45217,institution_20715,cooperation,Institution_cooperation_patent
institution_34476,institution_149421,cooperation,Institution_cooperation_patent
institution_149421,institution_34476,cooperation,Institution_cooperation_patent
institution_21501,institution_45189,cooperation,Institution_cooperation_patent
institution_45189,institution_21501,cooperation,Institution_cooperation_patent
institution_32403,institution_50590,cooperation,Institution_cooperation_patent
institution_50590,institution_32403,cooperation,Institution_cooperation_patent
institution_93726,institution_94206,cooperation,Institution_cooperation_patent
institution_94206,institution_93726,cooperation,Institution_cooperation_patent
institution_80701,institution_116597,cooperation,Institution_cooperation_patent
institution_116597,institution_80701,cooperation,Institution_cooperation_patent
institution_129398,institution_38394,cooperation,Institution_cooperation_patent
institution_38394,institution_129398,cooperation,Institution_cooperation_patent
institution_47088,institution_92936,cooperation,Institution_cooperation_patent
institution_92936,institution_47088,cooperation,Institution_cooperation_patent
institution_49428,institution_76444,cooperation,Institution_cooperation_patent
institution_76444,institution_49428,cooperation,Institution_cooperation_patent
institution_51429,institution_94166,cooperation,Institution_cooperation_patent
institution_94166,institution_51429,cooperation,Institution_cooperation_patent
institution_14774,institution_68716,cooperation,Institution_cooperation_patent
institution_68716,institution_14774,cooperation,Institution_cooperation_patent
institution_136129,institution_151625,cooperation,Institution_cooperation_patent
institution_151625,institution_136129,cooperation,Institution_cooperation_patent
institution_40564,institution_68346,cooperation,Institution_cooperation_patent
institution_68346,institution_40564,cooperation,Institution_cooperation_patent
institution_18127,institution_119816,cooperation,Institution_cooperation_patent
institution_119816,institution_18127,cooperation,Institution_cooperation_patent
institution_15817,institution_87832,cooperation,Institution_cooperation_patent
institution_87832,institution_15817,cooperation,Institution_cooperation_patent
institution_104040,institution_130748,cooperation,Institution_cooperation_patent
institution_130748,institution_104040,cooperation,Institution_cooperation_patent
institution_36171,institution_76721,cooperation,Institution_cooperation_patent
institution_76721,institution_36171,cooperation,Institution_cooperation_patent
institution_38394,institution_168533,cooperation,Institution_cooperation_patent
institution_168533,institution_38394,cooperation,Institution_cooperation_patent
institution_92936,institution_92936,cooperation,Institution_cooperation_patent
institution_92936,institution_92936,cooperation,Institution_cooperation_patent
institution_67889,institution_92936,cooperation,Institution_cooperation_patent
institution_92936,institution_67889,cooperation,Institution_cooperation_patent
institution_8527,institution_10090,cooperation,Institution_cooperation_patent
institution_10090,institution_8527,cooperation,Institution_cooperation_patent
institution_25995,institution_91748,cooperation,Institution_cooperation_patent
institution_91748,institution_25995,cooperation,Institution_cooperation_patent
institution_40938,institution_100580,cooperation,Institution_cooperation_patent
institution_100580,institution_40938,cooperation,Institution_cooperation_patent
